utcDate,homeTeam,awayTeam,score
2026-03-01T00:00:00Z,FCM,BRE,
2026-03-01T00:00:00Z,PFC,NIC,
2026-03-01T00:00:00Z,MAR,LYO,
2026-03-01T00:00:00Z,LIL,NAN,
2026-03-01T00:00:00Z,RC ,RCL,
2026-03-01T00:00:00Z,REN,TOU,
2026-03-08T00:00:00Z,AJA,RC ,
2026-03-08T00:00:00Z,NAN,ANG,
2026-03-08T00:00:00Z,TOU,MAR,
2026-03-08T00:00:00Z,NIC,REN,
2026-03-08T00:00:00Z,LYO,PFC,
2026-03-08T00:00:00Z,LIL,FCL,
2026-03-08T00:00:00Z,PSG,ASM,
2026-03-08T00:00:00Z,RCL,FCM,
2026-03-08T00:00:00Z,BRE,HAC,
2026-03-15T00:00:00Z,HAC,LYO,
2026-03-15T00:00:00Z,ASM,BRE,
2026-03-15T00:00:00Z,FCL,RCL,
2026-03-15T00:00:00Z,FCM,TOU,
2026-03-15T00:00:00Z,MAR,AJA,
2026-03-15T00:00:00Z,PSG,NAN,
2026-03-15T00:00:00Z,RC ,PFC,
2026-03-15T00:00:00Z,ANG,NIC,
2026-03-15T00:00:00Z,REN,LIL,
2026-03-22T00:00:00Z,AJA,BRE,
2026-03-22T00:00:00Z,NAN,RC ,
2026-03-22T00:00:00Z,PFC,HAC,
2026-03-22T00:00:00Z,TOU,FCL,
2026-03-22T00:00:00Z,NIC,PSG,
2026-03-22T00:00:00Z,LYO,ASM,
2026-03-22T00:00:00Z,MAR,LIL,
2026-03-22T00:00:00Z,RCL,ANG,
2026-03-22T00:00:00Z,REN,FCM,
2026-04-05T00:00:00Z,HAC,AJA,
2026-04-05T00:00:00Z,ASM,MAR,
2026-04-05T00:00:00Z,FCL,PFC,
2026-04-05T00:00:00Z,FCM,NAN,
2026-04-05T00:00:00Z,LIL,RCL,
2026-04-05T00:00:00Z,PSG,TOU,
2026-04-05T00:00:00Z,RC ,NIC,
2026-04-05T00:00:00Z,ANG,LYO,
2026-04-05T00:00:00Z,BRE,REN,
2026-04-12T00:00:00Z,AJA,NAN,
2026-04-12T00:00:00Z,PFC,ASM,
2026-04-12T00:00:00Z,TOU,LIL,
2026-04-12T00:00:00Z,NIC,HAC,
2026-04-12T00:00:00Z,LYO,FCL,
2026-04-12T00:00:00Z,MAR,FCM,
2026-04-12T00:00:00Z,RCL,PSG,
2026-04-12T00:00:00Z,BRE,RC ,
2026-04-12T00:00:00Z,REN,ANG,
2026-04-19T00:00:00Z,ASM,AJA,
2026-04-19T00:00:00Z,FCL,MAR,
2026-04-19T00:00:00Z,FCM,PFC,
2026-04-19T00:00:00Z,NAN,BRE,
2026-04-19T00:00:00Z,LIL,NIC,
2026-04-19T00:00:00Z,PSG,LYO,
