utcDate,homeTeam,awayTeam,score
2026-02-08T00:00:00Z,GEN,NAP,
2026-02-08T00:00:00Z,BOL,PAR,
2026-02-08T00:00:00Z,HVE,PIS,
2026-02-08T00:00:00Z,JUV,LAZ,
2026-02-08T00:00:00Z,SAS,INT,
2026-02-08T00:00:00Z,USL,UDI,
2026-02-15T00:00:00Z,CAG,USL,
2026-02-15T00:00:00Z,COM,FIO,
2026-02-15T00:00:00Z,TOR,BOL,
2026-02-15T00:00:00Z,INT,JUV,
2026-02-15T00:00:00Z,LAZ,ATA,
2026-02-15T00:00:00Z,PAR,HVE,
2026-02-15T00:00:00Z,PIS,MIL,
2026-02-15T00:00:00Z,NAP,ROM,
2026-02-15T00:00:00Z,UDI,SAS,
2026-02-15T00:00:00Z,CRE,GEN,
2026-02-22T00:00:00Z,FIO,PIS,
2026-02-22T00:00:00Z,MIL,PAR,
2026-02-22T00:00:00Z,ROM,CRE,
2026-02-22T00:00:00Z,ATA,NAP,
2026-02-22T00:00:00Z,CAG,LAZ,
2026-02-22T00:00:00Z,GEN,TOR,
2026-02-22T00:00:00Z,BOL,UDI,
2026-02-22T00:00:00Z,JUV,COM,
2026-02-22T00:00:00Z,SAS,HVE,
2026-02-22T00:00:00Z,USL,INT,
2026-03-01T00:00:00Z,ROM,JUV,
2026-03-01T00:00:00Z,COM,USL,
2026-03-01T00:00:00Z,TOR,LAZ,
2026-03-01T00:00:00Z,HVE,NAP,
2026-03-01T00:00:00Z,INT,GEN,
2026-03-01T00:00:00Z,PAR,CAG,
2026-03-01T00:00:00Z,PIS,BOL,
2026-03-01T00:00:00Z,SAS,ATA,
2026-03-01T00:00:00Z,UDI,FIO,
2026-03-01T00:00:00Z,CRE,MIL,
2026-03-08T00:00:00Z,CAG,COM,
2026-03-08T00:00:00Z,GEN,ROM,
2026-03-08T00:00:00Z,BOL,HVE,
2026-03-08T00:00:00Z,JUV,PIS,
2026-03-08T00:00:00Z,LAZ,SAS,
2026-03-08T00:00:00Z,NAP,TOR,
2026-03-08T00:00:00Z,USL,CRE,
2026-03-08T00:00:00Z,FIO,PAR,
2026-03-08T00:00:00Z,MIL,INT,
2026-03-08T00:00:00Z,ATA,UDI,
2026-03-15T00:00:00Z,COM,ROM,
2026-03-15T00:00:00Z,TOR,PAR,
2026-03-15T00:00:00Z,HVE,GEN,
2026-03-15T00:00:00Z,INT,ATA,
2026-03-15T00:00:00Z,LAZ,MIL,
2026-03-15T00:00:00Z,PIS,CAG,
2026-03-15T00:00:00Z,SAS,BOL,
2026-03-15T00:00:00Z,NAP,USL,
2026-03-15T00:00:00Z,UDI,JUV,
2026-03-15T00:00:00Z,CRE,FIO,
2026-03-22T00:00:00Z,FIO,INT,
2026-03-22T00:00:00Z,MIL,TOR,
2026-03-22T00:00:00Z,ROM,USL,
2026-03-22T00:00:00Z,ATA,HVE,
2026-03-22T00:00:00Z,CAG,NAP,
2026-03-22T00:00:00Z,GEN,UDI,
2026-03-22T00:00:00Z,COM,PIS,
2026-03-22T00:00:00Z,BOL,LAZ,
2026-03-22T00:00:00Z,JUV,SAS,
2026-03-22T00:00:00Z,PAR,CRE,
2026-04-04T00:00:00Z,HVE,FIO,
2026-04-04T00:00:00Z,INT,ROM,
2026-04-04T00:00:00Z,JUV,GEN,
2026-04-04T00:00:00Z,LAZ,PAR,
2026-04-04T00:00:00Z,PIS,TOR,
2026-04-04T00:00:00Z,SAS,CAG,
2026-04-04T00:00:00Z,NAP,MIL,
2026-04-04T00:00:00Z,UDI,COM,
2026-04-04T00:00:00Z,CRE,BOL,
2026-04-04T00:00:00Z,USL,ATA,
2026-04-12T00:00:00Z,FIO,LAZ,
2026-04-12T00:00:00Z,MIL,UDI,
2026-04-12T00:00:00Z,ROM,PIS,
2026-04-12T00:00:00Z,ATA,JUV,
2026-04-12T00:00:00Z,CAG,CRE,
2026-04-12T00:00:00Z,GEN,SAS,
2026-04-12T00:00:00Z,COM,INT,
2026-04-12T00:00:00Z,BOL,USL,
2026-04-12T00:00:00Z,TOR,HVE,
2026-04-12T00:00:00Z,PAR,NAP,
2026-04-19T00:00:00Z,ROM,ATA,
2026-04-19T00:00:00Z,HVE,MIL,
2026-04-19T00:00:00Z,INT,CAG,
2026-04-19T00:00:00Z,JUV,BOL,
2026-04-19T00:00:00Z,PIS,GEN,
2026-04-19T00:00:00Z,SAS,COM,
2026-04-19T00:00:00Z,NAP,LAZ,
2026-04-19T00:00:00Z,UDI,PAR,
2026-04-19T00:00:00Z,CRE,TOR,
2026-04-19T00:00:00Z,USL,FIO,
2026-04-26T00:00:00Z,FIO,SAS,
2026-04-26T00:00:00Z,MIL,JUV,
2026-04-26T00:00:00Z,CAG,ATA,
2026-04-26T00:00:00Z,GEN,COM,
2026-04-26T00:00:00Z,BOL,ROM,
2026-04-26T00:00:00Z,TOR,INT,
2026-04-26T00:00:00Z,HVE,USL,
2026-04-26T00:00:00Z,LAZ,UDI,
2026-04-26T00:00:00Z,PAR,PIS,
2026-04-26T00:00:00Z,NAP,CRE,
2026-05-03T00:00:00Z,ROM,FIO,
2026-05-03T00:00:00Z,ATA,GEN,
2026-05-03T00:00:00Z,COM,NAP,
2026-05-03T00:00:00Z,BOL,CAG,
2026-05-03T00:00:00Z,INT,PAR,
2026-05-03T00:00:00Z,JUV,HVE,
2026-05-03T00:00:00Z,PIS,USL,
2026-05-03T00:00:00Z,SAS,MIL,
2026-05-03T00:00:00Z,UDI,TOR,
2026-05-03T00:00:00Z,CRE,LAZ,
2026-05-10T00:00:00Z,FIO,GEN,
2026-05-10T00:00:00Z,MIL,ATA,
2026-05-10T00:00:00Z,CAG,UDI,
2026-05-10T00:00:00Z,TOR,SAS,
2026-05-10T00:00:00Z,HVE,COM,
2026-05-10T00:00:00Z,LAZ,INT,
2026-05-10T00:00:00Z,PAR,ROM,
2026-05-10T00:00:00Z,NAP,BOL,
2026-05-10T00:00:00Z,CRE,PIS,
2026-05-10T00:00:00Z,USL,JUV,
2026-05-17T00:00:00Z,ROM,LAZ,
2026-05-17T00:00:00Z,ATA,BOL,
2026-05-17T00:00:00Z,CAG,TOR,
2026-05-17T00:00:00Z,GEN,MIL,
2026-05-17T00:00:00Z,COM,PAR,
2026-05-17T00:00:00Z,INT,HVE,
2026-05-17T00:00:00Z,JUV,FIO,
2026-05-17T00:00:00Z,PIS,NAP,
2026-05-17T00:00:00Z,SAS,USL,
2026-05-17T00:00:00Z,UDI,CRE,
2026-05-24T00:00:00Z,FIO,ATA,
2026-05-24T00:00:00Z,MIL,CAG,
2026-05-24T00:00:00Z,BOL,INT,
2026-05-24T00:00:00Z,TOR,JUV,
2026-05-24T00:00:00Z,HVE,ROM,
2026-05-24T00:00:00Z,LAZ,PIS,
2026-05-24T00:00:00Z,PAR,SAS,
2026-05-24T00:00:00Z,NAP,UDI,
2026-05-24T00:00:00Z,CRE,COM,
2026-05-24T00:00:00Z,USL,GEN,
