station_name,metadata,month,tmax,tmax_is_estimated,tmin,tmin_is_estimated,af,af_is_estimated,rain,rain_is_estimated,sun,sun_is_estimated,sun_instrument,provisional
aberporth,,1961-01,7.2,False,2.3,False,7.0,False,117.5,False,37.5,False,Campbell Stokes recorder,False
aberporth,,1961-02,9.5,False,5.6,False,0.0,False,72.2,False,51.9,False,Campbell Stokes recorder,False
aberporth,,1961-03,11.0,False,5.7,False,0.0,False,14.6,False,118.3,False,Campbell Stokes recorder,False
aberporth,,1961-04,12.4,False,6.7,False,0.0,False,120.1,False,123.1,False,Campbell Stokes recorder,False
aberporth,,1961-05,13.8,False,7.7,False,0.0,False,40.0,False,244.5,False,Campbell Stokes recorder,False
aberporth,,1961-06,16.7,False,10.2,False,0.0,False,33.2,False,230.3,False,Campbell Stokes recorder,False
aberporth,,1961-07,16.9,False,11.6,False,0.0,False,50.3,False,185.8,False,Campbell Stokes recorder,False
aberporth,,1961-08,17.6,False,12.1,False,0.0,False,100.1,False,170.2,False,Campbell Stokes recorder,False
aberporth,,1961-09,17.7,False,11.9,False,0.0,False,112.9,False,136.6,False,Campbell Stokes recorder,False
aberporth,,1961-10,13.4,False,8.5,False,0.0,False,173.8,False,83.3,False,Campbell Stokes recorder,False
aberporth,,1961-11,9.5,False,5.1,False,0.0,False,63.5,False,59.6,False,Campbell Stokes recorder,False
aberporth,,1961-12,6.5,False,1.7,False,15.0,False,73.2,False,87.8,False,Campbell Stokes recorder,False
aberporth,,1962-01,7.8,False,2.8,False,4.0,False,113.3,False,59.5,False,Campbell Stokes recorder,False
aberporth,,1962-02,7.4,False,3.2,False,5.0,False,28.9,False,58.3,False,Campbell Stokes recorder,False
aberporth,,1962-03,6.4,False,0.5,False,14.0,False,37.6,False,140.2,False,Campbell Stokes recorder,False
aberporth,,1962-04,10.3,False,4.4,False,1.0,False,73.4,False,182.6,False,Campbell Stokes recorder,False
aberporth,,1962-05,12.1,False,7.3,False,0.0,False,52.3,False,176.0,False,Campbell Stokes recorder,False
aberporth,,1962-06,16.0,False,9.3,False,0.0,False,39.0,False,242.2,False,Campbell Stokes recorder,False
aberporth,,1962-07,17.0,False,11.4,False,0.0,False,53.8,False,149.0,False,Campbell Stokes recorder,False
aberporth,,1962-08,16.2,False,11.5,False,0.0,False,96.5,False,153.7,False,Campbell Stokes recorder,False
aberporth,,1962-09,15.0,False,10.4,False,0.0,False,130.8,False,102.1,False,Campbell Stokes recorder,False
aberporth,,1962-10,13.9,False,8.2,False,0.0,False,44.0,False,126.5,False,Campbell Stokes recorder,False
aberporth,,1962-11,8.9,False,4.6,False,0.0,False,72.3,False,43.9,False,Campbell Stokes recorder,False
aberporth,,1962-12,6.4,False,1.8,False,9.0,False,69.2,False,64.3,False,Campbell Stokes recorder,False
aberporth,,1963-01,1.3,False,-3.5,False,26.0,False,17.3,False,98.5,False,Campbell Stokes recorder,False
aberporth,,1963-02,3.3,False,-1.9,False,22.0,False,27.1,False,100.5,False,Campbell Stokes recorder,False
