month,country_or_territory,currency,code,rate
2021-02,Central African Republic,CFA Franc,XAF,738.6800
2021-02,Chad,CFA Franc,XAF,738.6800
2021-02,Chile,Peso,CLP,988.4200
2021-02,China,Yuan,CNY,8.8099
2021-02,Colombia,Peso,COP,4730.0600
2021-02,Comoros,Franc,KMF,554.0100
2021-02,Congo (Brazaville),CFA Franc,XAF,738.6800
2021-02,Congo (DemRep),Congo Fr,CDF,2686.7800
2021-02,Costa Rica,Colon,CRC,830.8500
2021-02,Cote d'Ivoire,CFA Franc,XOF,738.6800
2021-02,Croatia,Kuna,HRK,8.5173
2021-02,Cuba,Peso,CUP,1.3632
2021-02,Czech Republic,Koruna,CZK,29.3700
2021-02,Denmark,Krone,DKK,8.3763
2021-02,Djibouti,Franc,DJF,242.2600
2021-02,Dominica,E Caribbean Dollar,XCD,3.6805
2021-02,Dominican Republic,Peso,DOP,79.4000
2021-02,Dubai,Dirham,AED,5.0071
2021-02,Ecuador,Dollar,ECS,1.3632
2021-02,Egypt,Pound,EGP,21.4600
2021-02,El Salvador,Colon,SVC,11.9200
2021-02,Equatorial Guinea,CFA Franc,XAF,738.6800
2021-02,Eritrea,Nakfa,ERN,20.4400
2021-02,Ethiopia,Birr,ETB,53.8700
2021-02,Eurozone,Euro,EUR,1.1261
2021-02,Fiji Islands,Dollar,FJD,2.7764
2021-02,Fr. Polynesia,CFP Franc,XPF,134.3800
2021-02,Gabon,CFA Franc,XAF,738.6800
2021-02,Gambia,Dalasi,GMD,70.5500
2021-02,Georgia,Lari,GEL,4.4916
2021-02,Ghana,Cedi,GHS,7.9677
2021-02,Grenada,E Caribbean Dollar,XCD,3.6805
2021-02,Guatemala,Quetzal,GTQ,10.6100
2021-02,Guinea Bissau,CFA Franc,XOF,738.6800
2021-02,Guinea Republic,Franc,GNF,13917.8600
2021-02,Guyana,Dollar,GYD,285.1800
2021-02,Haiti,Gourde,HTG,98.2100
2021-02,Honduras,Lempira,HNL,32.8300
2021-02,Hong Kong,Dollar,HKD,10.5600
2021-02,Hungary,Forint,HUF,402.3300
2021-02,Iceland,Krona,ISK,176.5800
2021-02,India,Rupee,INR,99.5500
